POC,E,h,epsilon,L, avgU, energyU, avgV, energyV
 0, 49, 0, 0, 49, 128, 0, 128, 0
1, 49, 0, 0, 49, 128, 0, 128, 0
2, 49, 0, 0, 49, 128, 0, 128, 0
3, 49, 0, 0, 49, 128, 0, 128, 0
4, 49, 0, 0, 49, 128, 0, 128, 0
5, 49, 0, 0, 49, 128, 0, 128, 0
6, 49, 0, 0, 49, 128, 0, 128, 0
7, 49, 0, 0, 49, 128, 0, 128, 0
8, 49, 0, 0, 49, 128, 0, 128, 0
9, 49, 0, 0, 49, 128, 0, 128, 0
10, 49, 0, 0, 49, 128, 0, 128, 0
11, 49, 0, 0, 49, 128, 0, 128, 0
12, 49, 0, 0, 49, 128, 0, 128, 0
13, 49, 0, 0, 49, 128, 0, 128, 0
14, 49, 0, 0, 49, 128, 0, 128, 0
15, 49, 0, 0, 49, 128, 0, 128, 0
16, 49, 0, 0, 49, 128, 0, 128, 0
17, 49, 0, 0, 49, 128, 0, 128, 0
18, 49, 0, 0, 49, 128, 0, 128, 0
19, 49, 0, 0, 49, 128, 0, 128, 0
20, 49, 0, 0, 49, 128, 0, 128, 0
21, 49, 0, 0, 49, 128, 0, 128, 0
22, 49, 0, 0, 49, 128, 0, 128, 0
23, 49, 0, 0, 49, 128, 0, 128, 0
24, 49, 0, 0, 49, 128, 0, 128, 0
25, 49, 0, 0, 49, 128, 0, 128, 0
26, 49, 0, 0, 49, 128, 0, 128, 0
27, 49, 0, 0, 49, 128, 0, 128, 0
28, 49, 0, 0, 49, 128, 0, 128, 0
29, 49, 0, 0, 49, 128, 0, 128, 0
30, 49, 0, 0, 49, 128, 0, 128, 0
31, 49, 0, 0, 49, 128, 0, 128, 0
32, 49, 0, 0, 49, 128, 0, 128, 0
33, 49, 0, 0, 49, 128, 0, 128, 0
34, 49, 0, 0, 49, 128, 0, 128, 0
35, 49, 0, 0, 49, 128, 0, 128, 0
36, 49, 0, 0, 49, 128, 0, 128, 0
37, 49, 0, 0, 49, 128, 0, 128, 0
38, 49, 0, 0, 49, 128, 0, 128, 0
39, 49, 0, 0, 49, 128, 0, 128, 0
40, 49, 0, 0, 49, 128, 0, 128, 0
41, 49, 0, 0, 49, 128, 0, 128, 0
42, 49, 0, 0, 49, 128, 0, 128, 0
43, 49, 0, 0, 49, 128, 0, 128, 0
44, 49, 0, 0, 49, 128, 0, 128, 0
45, 49, 0, 0, 49, 128, 0, 128, 0
46, 49, 0, 0, 49, 128, 0, 128, 0
47, 49, 0, 0, 49, 128, 0, 128, 0
48, 49, 0, 0, 49, 128, 0, 128, 0
49, 49, 0, 0, 49, 128, 0, 128, 0
50, 49, 0, 0, 49, 128, 0, 128, 0
51, 49, 0, 0, 49, 128, 0, 128, 0
52, 49, 0, 0, 49, 128, 0, 128, 0
53, 49, 0, 0, 49, 128, 0, 128, 0
54, 49, 0, 0, 49, 128, 0, 128, 0
55, 49, 0, 0, 49, 128, 0, 128, 0
56, 49, 0, 0, 49, 128, 0, 128, 0
57, 49, 0, 0, 49, 128, 0, 128, 0
58, 49, 0, 0, 49, 128, 0, 128, 0
59, 49, 0, 0, 49, 128, 0, 128, 0
60, 49, 0, 0, 49, 128, 0, 128, 0
61, 49, 0, 0, 49, 128, 0, 128, 0
62, 49, 0, 0, 49, 128, 0, 128, 0
63, 49, 0, 0, 49, 128, 0, 128, 0
64, 49, 0, 0, 49, 128, 0, 128, 0
65, 49, 0, 0, 49, 128, 0, 128, 0
66, 49, 0, 0, 49, 128, 0, 128, 0
67, 49, 0, 0, 49, 128, 0, 128, 0
68, 49, 0, 0, 49, 128, 0, 128, 0
69, 49, 0, 0, 49, 128, 0, 128, 0
70, 49, 0, 0, 49, 128, 0, 128, 0
71, 49, 0, 0, 49, 128, 0, 128, 0
72, 49, 0, 0, 49, 128, 0, 128, 0
73, 49, 0, 0, 49, 128, 0, 128, 0
74, 49, 0, 0, 49, 128, 0, 128, 0
75, 49, 0, 0, 49, 128, 0, 128, 0
76, 49, 0, 0, 49, 128, 0, 128, 0
77, 49, 0, 0, 49, 128, 0, 128, 0
78, 49, 0, 0, 49, 128, 0, 128, 0
79, 49, 0, 0, 49, 128, 0, 128, 0
80, 49, 0, 0, 49, 128, 0, 128, 0
81, 49, 0, 0, 49, 128, 0, 128, 0
82, 49, 0, 0, 49, 128, 0, 128, 0
83, 49, 0, 0, 49, 128, 0, 128, 0
84, 49, 0, 0, 49, 128, 0, 128, 0
85, 49, 0, 0, 49, 128, 0, 128, 0
86, 49, 0, 0, 49, 128, 0, 128, 0
87, 49, 0, 0, 49, 128, 0, 128, 0
88, 49, 0, 0, 49, 128, 0, 128, 0
89, 49, 0, 0, 49, 128, 0, 128, 0
90, 49, 0, 0, 49, 128, 0, 128, 0
91, 49, 0, 0, 49, 128, 0, 128, 0
92, 49, 0, 0, 49, 128, 0, 128, 0
93, 49, 0, 0, 49, 128, 0, 128, 0
94, 49, 0, 0, 49, 128, 0, 128, 0
95, 49, 0, 0, 49, 128, 0, 128, 0
96, 49, 0, 0, 49, 128, 0, 128, 0
97, 49, 0, 0, 49, 128, 0, 128, 0
98, 49, 0, 0, 49, 128, 0, 128, 0
99, 49, 0, 0, 49, 128, 0, 128, 0
100, 49, 0, 0, 49, 128, 0, 128, 0
101, 49, 0, 0, 49, 128, 0, 128, 0
102, 49, 0, 0, 49, 128, 0, 128, 0
103, 49, 0, 0, 49, 128, 0, 128, 0
104, 49, 0, 0, 49, 128, 0, 128, 0
105, 49, 0, 0, 49, 128, 0, 128, 0
106, 49, 0, 0, 49, 128, 0, 128, 0
107, 49, 0, 0, 49, 128, 0, 128, 0
108, 49, 0, 0, 49, 128, 0, 128, 0
